Designator,Mid X,Mid Y,Rotation,Layer
C1,104.8004,-105.7776,270.0,top
C2,106.4768,-105.7776,270.0,top
C3,112.522,-105.7776,270.0,top
C4,114.1984,-105.7776,270.0,top
C5,113.2411,-108.0516,0.0,top
C6,113.03,-113.2452,270.0,top
C7,114.7064,-113.2452,270.0,top
D1,112.4564,-109.5756,180.0,top
J1,109.967,-101.854,90.0,top
J2,101.854,-111.501,0.0,top
J3,108.0466,-122.0724,90.0,top
R1,105.5236,-108.1024,180.0,top
R2,105.5236,-109.6772,180.0,top
R3,113.9564,-111.0488,0.0,top
R4,108.47,-110.5408,0.0,top
RN1,105.551,-114.192,270.0,top
RN2,109.6,-118.3246,0.0,top
U1,109.492,-106.5276,180.0,top
U2,110.0,-113.9952,270.0,top
